IE_XML_ID;IE_NAME;IP_PROP310;IC_GROUP0;IC_GROUP1;IC_GROUP2
471;Первичная консультация репродуктолога (осмотр, беседа, УЗИ), врач группы 1;1800;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
472;Первичная консультация репродуктолога (осмотр, беседа, УЗИ), врач группы 2;1500;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
473;Повторная консультация репродуктолога (осмотр, беседа, УЗИ), врач группы 1;1200;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
474;Повторная консультация репродуктолога (осмотр, беседа, УЗИ), врач группы 2;1000;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
475;Консультация по результатам анализов;500;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
476;Ультразвуковой мониторинг яичников (фолликулометрия);600;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
477;Консультация эмбриолога;1000;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
478;Консультация врача КЛД;1000;Отделение вспомогательных репродуктивных технологий;Консультации специалистов;
479;Взятие аспирата из полости матки (Пайпель-биопсия эндометрия);2100;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
480;Удаление ВМК (простое) со взятием материала на цитологическое исследование;650;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
481;Кольпоскопия;700;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
482;Обследование суррогатной матери;43700;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
483;Спермограмма с MAR-тестом;1800;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
484;Спермограмма;1000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
485;MAR-тест (определение антиспермальных антител);1000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
486;Оценка доли зрелых сперматозоидов (тест HBA);4500;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
487;Проба Курцрока-Миллера;1000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
488;Посткоитальный тест (проба Шуварского);1000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
489;Исследование посторгазменной мочи на наличие сперматозоидов;3000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
490;Гипоосмолярный тест жизнеспособности (HOST);600;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
491;Тест на криотолерантность сперматозоидов;6000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
492;Электронно-микроскопическое исследование сперматозоидов (ЭМИС);12200;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
493;Биопсия клеток эмбриона для ПГС;18000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
494;Преимплантационная генетическая диагностика хромосомных аномалий (3 хромосомы: 21,Х,Y) методом КФ-ПЦР, за 1 эмбрион;18600;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
495;Преимплантационная генетическая диагностика хромосомных аномалий (3 хромосомы: 21,Х,Y) методом КФ-ПЦР, за дополнительный эмбрион;5200;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
496;Преимплантационный генетический скрининг хромосомных аномалий (23 пары хромосом) методом NGS, за 1 эмбрион;33000;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
497;Преимплантационная генетическая диагностика моногенных заболеваний;по запросу;Отделение вспомогательных репродуктивных технологий;Диагностические процедуры;
498;Консультация оперирующего врача акушера-гинеколога;1500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
499;Повторная консультация оперирующего врача акушера-гинеколога;1000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
500;Диагностическая лапароскопия + гистероскопия диагностическая с хромопробой (ХСС);21000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
501;Лапароскопические операции на придатках I степени сложности (ранее не оперированные, без спаечного процесса);24150;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
502;Лапароскопические операции на придатках II степени сложности (ранее не оперированные, но со спаечным процессом 1-2 степени);28350;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
503;Лапароскопические операции на придатках III степени сложности (ранее оперированные со спаечным процессом 2-3 степени);31500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
504;Лапароскопические операции на придатках IV степени сложности (ранее оперированные с многократным вхождением в брюшную полость, с выраженным спаечным процессом);37500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
505;Стерилизация маточных труб;17850;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
506;Миомэктомия I степени сложности до 3-х см неосложненная (ранее не оперированные и (или) простая локализация узла);36750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
507;Миомэктомия I степени сложности до 3-х см осложненная (ранее оперированные и (или) сложная локализация узла);42000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
508;Миомэктомия II степени сложности 3-5 см неосложненная (ранее оперированные и (или) сложная локализация узла);47250;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
509;Миомэктомия II степени сложности 3-5 см осложненная (ранее оперированные и (или) сложная локализация узла);52500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
510;Миомэктомия III степени сложности 5-10 см неосложненная (ранее не оперированные и (или) простая локализация узла);57750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
511;Миомэктомия III степени сложности 5-10 см осложненная (ранее оперированные и (или) сложная локализация узла);63000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
512;Миомэктомия IV степени сложности свыше 10 см неосложненная (ранее не оперированные и (или) простая локализация узла);68250;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
513;Миомэктомия IV степени сложности свыше 10 см осложненная (ранее оперированные и (или) сложная локализация узла);73500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
514;Ампутация матки до 12 недель;47250;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
515;Ампутация матки свыше 12 недель;52500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
516;Экстирпация матки до 12 недель;52500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
517;Экстирпация матки от 13-16 недель;57750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
518;Экстирпация матки свыше 16 недель;63000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
519;Удаление полипов;12600;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
520;Удаление миоматозных узлов до 1 см;21000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
521;Удаление миоматозных узлов от 1 до 3 см;26250;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
522;Удаление миоматозных узлов более 3 см;36750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
523;Резекция эндометрия (аблация);21000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
524;Рассечение неполной, полной перегородки полости матки;15750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
525;Гистерорезектоскопия с лапароскопической ассистенцией;36750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
526;Рассечение спаек, синехий в полости матки, I cтепень сложности;7000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
527;Рассечение спаек, синехий в полости матки, II-III cтепень сложности;11000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
528;Рассечение спаек, синехий в полости матки, дополнительный этап;6000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
529;Влагалищная экстирпация матки;52500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
530;Хирургическая коррекция тканей передней или задней стенок влагалища;27000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
531;Удаление кисты бартолиновой железы;15750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
532;Хирургическая коррекция тканей передней и задней стенок влагалища;35000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
533;Удаление кисты влагалища;15750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
534;Хирургическая коррекция послеродовых разрывов промежности, половых губ, рассечение перегородки влагалища;17000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
535;Установка TVT-O петли при недержании мочи (без стоимости петли);15750;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
536;Установка сетчатых протезов без учета стоимости сетчатого протеза (передний, задний, тотальный);31500;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
537;Метропластика I степени сложности;20000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
538;Метропластика II степени сложности;25000;Оперативное лечение и диагностика;Проведение оперативных вмешательств в гинекологии;
