ID;Дата создания;Заголовок;Анонс;Текст;Дата;Источник
57160;2019-02-27 11:38:34;Маммолог в Дёме;по четвергам;Вниманию жителей Дёмского района!  Теперь на постоянной основе в демском филиале ведёт приём маммолог Александр Николаевич Николаев.  Специалист с большим опытом практической работы (в 2005 году окончил БГМУ), положительными результатами лечения.  Прошло два дня приёмов в филиале на Кусимова 15/1, и мы уже получили хорошие отзывы.  День приёмов маммолога в демском филиале - четверг с 16 до 18 ч.  День приёмов маммолога в филиале на Кирова - вторник с 15 до 19 ч., суббота с 9 до 14 ч.  Напоминание: профилактический визит к маммологу и на УЗИ молочных желез надо планировать на первую фазу цикла, сразу после окончания выделений.  В случае экстренных ситуаций визит к маммологу надо делать как можно скорее (болевой синдром, повышение температуры в молочных железах, нарушение лактации, появление выделений из сосков вне периода лактации).  Запись на приём по тел. 8 800 775 6969;;
57060;2019-02-19 11:45:28;Мы подвели итоги;Результаты проведения программ ВРТ в 2018 г.;"Результативность проведения программ ВРТ по программе государственных гарантий.  &nbsp;  В 2018 году всего в ООО ""ЦМТ"" проведено 300 процедур ЭКО и 38 криопротоколов по программе государственных гарантий.  Возрастная градация пациентов, получивших процедуру ЭКО:  - до 35 лет &ndash; 181 чел.  - 36-40 лет  - 78 чел.  - старше 40 лет &ndash; 41 чел.  Яйцеклетки получены у всех пациентов.  &nbsp;  Беременность после проведения процедуры ЭКО наступила у 115 чел. &ndash; 38,3%.  Беременность после проведения процедуры криопереноса наступила у 16 чел. - 42%  Кумулятивная эффективность составила &ndash; 49,6 %";;
56668;2019-01-17 12:26:14;Филиал в г.Стерлитамак, ул.Мира, 1Б;Открытие в марте 2019! ;"Стерлитамак, доктора едут к вам!&nbsp;В марте мы открываем филиал в Стерлитамаке по адресу ул. Мира, 1Б. Сейчас полным ходом идет ремонт и оснащение кабинетов. Одним из направлений деятельности филиала станет пренатальная диагностика и медицина плода:&nbsp;- медико-генетический скрининг беременности с использованием комбинированного, ультразвукового, инвазивного и неинвазивного методов диагностики плода;&nbsp;- прогноз состояния плода с использованием современных методов обследования у пациенток высокого риска (старшего репродуктивного возраста, после программ ЭКО, при невынашивании и тп);&nbsp;- генетическое консультирование;&nbsp;- подготовка и маршрутизация пациентов с отклонениями репродуктивной функции.&nbsp;В уфимских филиалах Зорге, Дема и Кирова данные направления также будут развиваться, потому что главная миссия клиники ""Здоровье женщины и мужчины"" - сохранение репродуктивного потенциала населения.&nbsp;Подробнее о направлении ""Пренатальная диагностика и медицина плода"" читайте на сайте клиники здесь";;
56640;2019-01-15 08:14:00;Репродуктолог ответит на ваши вопросы;Первичная консультация репродуктолога - бесплатно ;"Информация для тех, кто откладывает ""на потом"".&nbsp;Планируете беременность, но заветные ""две полоски"" так и не появляются?&nbsp;На ваши вопросы даст ответ опытный врач-репродуктолог.&nbsp;На первой бесплатной консультации репродуктолога вы получите подробную информацию:&nbsp;- Возможные причины отсутствия беременности именно в вашей паре.&nbsp;- Как провести обследование, чтобы максимально быстро и точно выявить причину отсутствия беременности.&nbsp;- Какие варианты лечения могут быть в том случае, если в вашей паре естественная беременность невозможна.&nbsp;- Какие расходы повлечет за собой диагностика и лечение.&nbsp;- Как оформить и подать документы на получение квоты на бесплатное ЭКО в клинике ""Здоровье женщины и мужчины"" на Кирова, 52&nbsp;Запись на приём по телефону: 8 800 775 6969&nbsp;Сейчас самое время: в филиале на Кирова, 52 первичная консультация врачей репродуктологов Лилии Ришатовны Кутлиматовой и Ксении Алексеевны Камаловой - бесплатно.&nbsp;";;
56313;2018-12-11 08:53:44;График на январь;Лечение в дни новогодних каникул;"Друзья, информация для тех, кто планирует лечебные процедуры в дни новогодних каникул  В этом году необычные каникулы, которые начнутся 31 декабря.&nbsp;  Итак:&nbsp;  29 декабря (суббота) работают все филиалы клиники с 8 до 16 ч., прием анализов с 8 до 10 ч.;  30 декабря (воскресенье) работает филиал на Кирова, 52, с 8 до 14 ч., прием анализов с 8 до 10 ч.;  31 декабря, 1,2 января&nbsp; - выходные дни;  3,4,5 января, работают все филиалы с 8 до 14, приём анализов с 8 до 10 ч.;  6 января, воскресенье, работает филиал на Кирова, 52 с&nbsp; 8-14 ч., прием анализов с 8 до 10 ч.  7 января выходной день,  8 января работают все филиалы с 8 до 14 ч., приём анализов с 8 до 10 ч.&nbsp;  с 9 января - работаем в обычном режиме с 7.30 до 20 ч.&nbsp;  &nbsp;  Просим Вас заранее спланировать свои визиты в клинику и записаться по т.8 800 775 6969&nbsp;";;
55883;2018-11-01 08:33:12;Воскресенье - на Кирова,52;на лечение в выходные дни;"Филиал на Кирова, 52 теперь работает каждый день, по восресеньям в том числе. Это удобно в тех случаях, когда вам назначены капельницы или инъекции ежедневно. В воскресенье на Кирова ведут прием врач акушер-гинеколог и врач УЗД.&nbsp;  Таким образом, график работы филиалов клиники теперь такой:&nbsp;  Кирова,52&nbsp;  пон.-пят. с 7.30 до 20 ч.  суб. с 8 до 16 ч.  вскр. с 8 до 14 ч.    Зорге,75 (Горсовет)  пон-пят с 8 до 20 ч.  суб. с 8 до 16 ч.    Кусимова,15/1 (Дёма)&nbsp;  пон-пят с 8 до 20 ч.  суб. с 8 до 16 ч.";;
55668;2018-10-12 13:58:46;Избавиться от лишнего веса? Мы вам поможем! ;Специалист по коррекции веса на Кирова, 52;"Друзья, лишний вес - существенная помеха для здоровья при планировании беременности, для зачатия и во время беременности.  От лишнего веса надо избавляться, и делать это лучше под наблюдением специалиста.  В этом вопросе Вам поможет специалист по коррекции веса Алия Айратовна Тукаева в филиале на Кирова, 52.&nbsp;  Обратившись к этому врачу, вы сначала получите план обследований, важно соблюсти график и все нюансы проведения обследований, то важно для выявления истиной причины накопления лишнего веса.&nbsp;  Затем, по результатам обследований, врач даст план питания (продукты, время суток, вес продукта) и план принятия витаминных добавок. Алия Айратовна ответственный специалист, она всегда на связи со своими пациентами с помощью соц.сетей и мессенджеров. Т.К. в период избавления от лишнего веса важна психологическая поддержка.&nbsp;  Личные аккаунты врача @aliya_tukaeva @analizy_tukaeva.&nbsp;  График приемов в октябре: пон 10.30-13.30, среда 9.00-12.00. Запись на приём по тел. 8 800 775 6969.&nbsp;  Не затягивайте! Процесс снизжения веса - кропотливая работа над собой, требующая большого промежутка времени.&nbsp;  Запись на приём по тел. 8 800 775 6969&nbsp;";;
55617;2018-10-08 10:20:23;Репродуктологи едут к Вам!;Нефтекамск, Давлеканово;"Ближайшие выездные консультации врачей репродуктологов:&nbsp;  9 октября - Нефтекамск, клиника ""Доктор+"", ул.Строителей, 73, запись на прием по тел.&nbsp;8(34783) 4-08-08, 8(937)334-08-08  10 октября - Давлеканово, клиника ""Профи+"", ул.Высоковольтная, 14а,&nbsp;  запись на прием по тел.8(986) 970 7143  -Первичная консультация с УЗИ-мониторингом для выявления причины бесплодия  -Повторные консультации по вопросам ведения обследования, прима препаратов в цикле ЭКО  -УЗИ-мониторинги в цикле ЭКО  -другие вопросы, связанные с диагностикой и лечением бесплодия&nbsp;  ";;
55574;2018-10-04 16:27:19;Ортопед на помощь беременным;Боли в спине и пояснице терпеть не надо! ;"Вниманию наших любимых беременяшек!&nbsp;  Гинекологи советуют боли в спине и пояснице не надо терпеть.  Сейчас есть современный метод медицинской помощи в этих случаях - тейпирование.  Что такое ""тейпирование""? Тейп - это клейкая эластичная лента. Тейп наклеивается на нижнюю часть спины или живота, где он поддерживает черзмерно растянутые ткани и помогает справиться с нагрузкой перенапряженных мышц, улучшает осанку, уменьшает мышечные спазмы и полностью заменяет бандаж при беременносит или дородовый бандаж.&nbsp;&nbsp;  &nbsp;  Также тейпирование проводится, когда:  наблюдается защемление седалищного нерва,  для снижения нагрузки на конечности, при значительном увеличении массы тела,  для поддержки быстрорастущего животика,  с целью профилактики возникновения растяжек,  при отечности конечностей у беременной,  для профилактики чрезмерного расхождения мышц живота,  при одышке у беременной, спровоцированной давлением матки на грудную клетку.&nbsp;&nbsp;  Кто проводит эту процедуру? - Врач ортопед Карим Игоревич Шурмелев в филиале на Зорге, 75.&nbsp;  Как часто рекомендуется проводить эту процедуру? - 1 раз в неделю, весь период пока вы наблюдаете неприятные ощущения.&nbsp;  Стоимость консультации для беременных - 500 руб.&nbsp;  Стоимость процедуры тейпирования - 1.000 руб.&nbsp;  Запись на прием к ортопеду - 8 800 775 6969.&nbsp;  &nbsp;";;
55229;2018-09-05 15:49:07;До 30 сент, крио и хранение эмбрионов - В ПОДАРОК! ;Продление акции ;"Уважаемые пациенты!    По вашим просьбам мы продлеваем акцию еще на один месяц:&nbsp;  КРИОКОНСЕРВАЦИЯ ЭМБРИОНОВ И ХРАНЕНИЕ 6 МЕСЯЦЕВ - В ПОДАРОК всем, кто вступит в любой протокол ЭКО до 30 сентября этого года.&nbsp;  На все вопросы ответит ваш врач репродуктолог.  &nbsp;  Запись на прием по тел. 8 800 775 6969. Ждем Вас!&nbsp;&nbsp;";;
